"Mladoletniki (znani storilci), katerim je bil izreèen vzgojni ukrep ali kazen po: KAZNIVO DEJANJE, KAZENSKA SANKCIJA, SPOL , LETO"

" ";" ";"Spol - SKUPAJ";" ";" ";" ";"Moški";" ";" ";" ";"Ženske";" ";" ";" "
" ";"Vzgojni ukrepi (skupaj)";2;46;60;40;2;44;58;37;-;2;2;3
" ";"Vzgojni ukrep - ukor";-;1;4;3;-;1;3;3;-;-;1;-
" ";"Vzgojni ukrep - navodila in prepovedi";1;3;18;6;1;3;18;6;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";1;37;32;28;1;35;31;25;-;2;1;3
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;2;2;1;-;2;2;1;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;3;4;2;-;3;4;2;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.205011 velika tatvina - od. 1, tè. 1"
" ";"Glavna kazen - SKUPAJ";2;44;51;31;2;42;51;29;-;2;-;2
" ";"Mladoletniški zapor";-;-;1;1;-;-;1;1;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";2;44;50;30;2;42;50;28;-;2;-;2
" ";"Vzgojni ukrep - ukor";-;1;2;1;-;1;2;1;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";1;3;17;4;1;3;17;4;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";1;35;26;22;1;33;26;20;-;2;-;2
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;2;2;1;-;2;2;1;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;3;3;2;-;3;3;2;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.205012 velika tatvina - od. 1, tè. 2"
" ";"Glavna kazen - SKUPAJ";-;-;3;2;-;-;3;2;-;-;-;-
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";-;-;3;2;-;-;3;2;-;-;-;-
" ";"Vzgojni ukrep - ukor";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;1;-;-;-;1;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;-;2;1;-;-;2;1;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.205013 velika tatvina - od. 1, tè. 3"
" ";"Glavna kazen - SKUPAJ";-;1;5;5;-;1;3;4;-;-;2;1
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";-;1;5;5;-;1;3;4;-;-;2;1
" ";"Vzgojni ukrep - ukor";-;-;1;1;-;-;-;1;-;-;1;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;1;1;-;-;1;1;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;1;3;3;-;1;2;2;-;-;1;1
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.205016 velika tatvina - od. 1, tè. 6"
" ";"Glavna kazen - SKUPAJ";-;-;2;2;-;-;2;2;-;-;-;-
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";-;-;2;2;-;-;2;2;-;-;-;-
" ";"Vzgojni ukrep - ukor";-;-;-;1;-;-;-;1;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;-;1;1;-;-;1;1;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.205031 velika tatvina - od. 3 v zvezi z od. 1"
" ";"Glavna kazen - SKUPAJ";-;1;-;1;-;1;-;1;-;-;-;-
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";-;1;-;1;-;1;-;1;-;-;-;-
" ";"Vzgojni ukrep - ukor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;1;-;1;-;1;-;1;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.206 rop"
" ";"Glavna kazen - SKUPAJ";4;11;14;14;4;11;14;14;-;-;-;-
" ";"Mladoletniški zapor";-;-;-;2;-;-;-;2;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";4;11;14;12;4;11;14;12;-;-;-;-
" ";"Vzgojni ukrep - ukor";2;-;-;-;2;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;1;2;6;-;1;2;6;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;8;11;5;-;8;11;5;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";1;1;-;-;1;1;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";1;1;1;1;1;1;1;1;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.206010 rop - od. 1"
" ";"Glavna kazen - SKUPAJ";4;11;14;14;4;11;14;14;-;-;-;-
" ";"Mladoletniški zapor";-;-;-;2;-;-;-;2;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";4;11;14;12;4;11;14;12;-;-;-;-
" ";"Vzgojni ukrep - ukor";2;-;-;-;2;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;1;2;6;-;1;2;6;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;8;11;5;-;8;11;5;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";1;1;-;-;1;1;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";1;1;1;1;1;1;1;1;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.207 roparska tatvina"
" ";"Glavna kazen - SKUPAJ";-;4;2;2;-;3;1;2;-;1;1;-
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";-;4;2;2;-;3;1;2;-;1;1;-
" ";"Vzgojni ukrep - ukor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;3;2;2;-;2;1;2;-;1;1;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;1;-;-;-;1;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.207010 roparska tatvina - od. 1"
" ";"Glavna kazen - SKUPAJ";-;4;2;2;-;3;1;2;-;1;1;-
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";-;4;2;2;-;3;1;2;-;1;1;-
" ";"Vzgojni ukrep - ukor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;3;2;2;-;2;1;2;-;1;1;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;1;-;-;-;1;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.208 zatajitev"
" ";"Glavna kazen - SKUPAJ";1;3;4;3;1;3;3;2;-;-;1;1
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";1;3;4;3;1;3;3;2;-;-;1;1
" ";"Vzgojni ukrep - ukor";-;-;2;-;-;-;1;-;-;-;1;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;2;-;1;-;2;-;1;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";1;1;1;2;1;1;1;1;-;-;-;1
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.208010 zatajitev - od. 1"
" ";"Glavna kazen - SKUPAJ";-;2;1;2;-;2;1;1;-;-;-;1
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";-;2;1;2;-;2;1;1;-;-;-;1
" ";"Vzgojni ukrep - ukor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;2;-;1;-;2;-;1;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;-;1;1;-;-;1;-;-;-;-;1
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.208020 zatajitev - od. 2"
" ";"Glavna kazen - SKUPAJ";-;-;-;1;-;-;-;1;-;-;-;-
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";-;-;-;1;-;-;-;1;-;-;-;-
" ";"Vzgojni ukrep - ukor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;-;-;1;-;-;-;1;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.208050 zatajitev - od. 5"
" ";"Glavna kazen - SKUPAJ";1;1;3;-;1;1;2;-;-;-;1;-
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";1;1;3;-;1;1;2;-;-;-;1;-
" ";"Vzgojni ukrep - ukor";-;-;2;-;-;-;1;-;-;-;1;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";1;1;-;-;1;1;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.210 odvzem motornega vozila"
" ";"Glavna kazen - SKUPAJ";-;2;6;12;-;2;6;11;-;-;-;1
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";-;2;6;12;-;2;6;11;-;-;-;1
" ";"Vzgojni ukrep - ukor";-;1;2;-;-;1;2;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;4;-;-;-;4;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;1;4;3;-;1;4;2;-;-;-;1
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;4;-;-;-;4;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;1;-;-;-;1;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.210010 odvzem motornega vozila - od. 1"
" ";"Glavna kazen - SKUPAJ";-;2;4;11;-;2;4;10;-;-;-;1
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";-;2;4;11;-;2;4;10;-;-;-;1
" ";"Vzgojni ukrep - ukor";-;1;2;-;-;1;2;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;3;-;-;-;3;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;1;2;3;-;1;2;2;-;-;-;1
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;4;-;-;-;4;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;1;-;-;-;1;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.210031 odvzem motornega vozila - od. 3 v zvezi z od. 1"
" ";"Glavna kazen - SKUPAJ";-;-;2;1;-;-;2;1;-;-;-;-
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";-;-;2;1;-;-;2;1;-;-;-;-
" ";"Vzgojni ukrep - ukor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;1;-;-;-;1;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;-;2;-;-;-;2;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.211 goljufija"
" ";"Glavna kazen - SKUPAJ";1;3;1;6;1;1;1;4;-;2;-;2
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";1;3;1;6;1;1;1;4;-;2;-;2
" ";"Vzgojni ukrep - ukor";-;2;1;-;-;-;1;-;-;2;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;1;-;-;-;-;-;-;-;1
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";1;1;-;5;1;1;-;4;-;-;-;1
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.211010 goljufija - od. 1"
" ";"Glavna kazen - SKUPAJ";-;-;-;2;-;-;-;2;-;-;-;-
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";-;-;-;2;-;-;-;2;-;-;-;-
" ";"Vzgojni ukrep - ukor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;-;-;2;-;-;-;2;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.211021 goljufija - od. 2 v zvezi z od. 1"
" ";"Glavna kazen - SKUPAJ";-;1;-;-;-;1;-;-;-;-;-;-
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";-;1;-;-;-;1;-;-;-;-;-;-
" ";"Vzgojni ukrep - ukor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;1;-;-;-;1;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.211031 goljufija - od. 3 v zvezi z od. 1"
" ";"Glavna kazen - SKUPAJ";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Vzgojni ukrep - ukor";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.211051 goljufija - od. 5 v zvezi z od. 1"
" ";"Glavna kazen - SKUPAJ";1;2;-;4;1;-;-;2;-;2;-;2
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";1;2;-;4;1;-;-;2;-;2;-;2
" ";"Vzgojni ukrep - ukor";-;2;-;-;-;-;-;-;-;2;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;1;-;-;-;-;-;-;-;1
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";1;-;-;3;1;-;-;2;-;-;-;1
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.213 izsiljevanje"
" ";"Glavna kazen - SKUPAJ";2;6;5;5;2;6;5;5;-;-;-;-
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";2;6;5;5;2;6;5;5;-;-;-;-
" ";"Vzgojni ukrep - ukor";-;2;1;1;-;2;1;1;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";1;1;2;1;1;1;2;1;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";1;3;2;3;1;3;2;3;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.213010 izsiljevanje - od. 1"
" ";"Glavna kazen - SKUPAJ";1;2;3;2;1;2;3;2;-;-;-;-
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";1;2;3;2;1;2;3;2;-;-;-;-
" ";"Vzgojni ukrep - ukor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";1;1;2;-;1;1;2;-;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;1;1;2;-;1;1;2;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.213020 izsiljevanje - od. 2"
" ";"Glavna kazen - SKUPAJ";1;-;-;1;1;-;-;1;-;-;-;-
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";1;-;-;1;1;-;-;1;-;-;-;-
" ";"Vzgojni ukrep - ukor";-;-;-;1;-;-;-;1;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";1;-;-;-;1;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.213031 izsiljevanje - od. 3 v zvezi z od. 1"
" ";"Glavna kazen - SKUPAJ";-;4;2;2;-;4;2;2;-;-;-;-
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";-;4;2;2;-;4;2;2;-;-;-;-
" ";"Vzgojni ukrep - ukor";-;2;1;-;-;2;1;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;1;-;-;-;1;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;2;1;1;-;2;1;1;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.217 prikrivanje"
" ";"Glavna kazen - SKUPAJ";-;6;7;5;-;6;7;4;-;-;-;1
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";-;6;7;5;-;6;7;4;-;-;-;1
" ";"Vzgojni ukrep - ukor";-;2;2;-;-;2;2;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;1;1;-;-;1;1;-;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;3;4;4;-;3;4;3;-;-;-;1
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;1;-;-;-;1;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.217010 prikrivanje - od. 1"
