"Mladoletniki zoper katere je bil kazenski postopek pri državnem tožilstvu konèan po: KAZNIVO DEJANJE, STAROST, VRSTA ODLOÈBE, SPOL , LETO"

" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";"Ženske";" ";" ";" ";" "
" ";" ";"Ovadbe rešene na drug naèin";0;-;-;-;-;0;-;-;-;-;0;-;-;-;-
" ";" ";"Podan predlog za kaznovanje";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za izrek vzgojnega ukrepa";-;1;-;1;-;-;1;-;1;-;-;-;-;-;-
" ";"12 let"
" ";" ";"Odloèba tožilstva - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Zavrženje ovadbe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za uvedbo pripravljalnega postopka";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Ovadbe rešene na drug naèin";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za kaznovanje";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za izrek vzgojnega ukrepa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";"13 let"
" ";" ";"Odloèba tožilstva - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Zavrženje ovadbe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za uvedbo pripravljalnega postopka";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Ovadbe rešene na drug naèin";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za kaznovanje";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za izrek vzgojnega ukrepa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";"14 let"
" ";" ";"Odloèba tožilstva - SKUPAJ";0;-;-;1;-;0;-;-;1;-;0;-;-;-;-
" ";" ";"Zavrženje ovadbe";0;-;-;1;-;0;-;-;1;-;0;-;-;-;-
" ";" ";"Podan predlog za uvedbo pripravljalnega postopka";0;-;-;-;-;0;-;-;-;-;0;-;-;-;-
" ";" ";"Ovadbe rešene na drug naèin";0;-;-;-;-;0;-;-;-;-;0;-;-;-;-
" ";" ";"Podan predlog za kaznovanje";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za izrek vzgojnega ukrepa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";"15 let"
" ";" ";"Odloèba tožilstva - SKUPAJ";1;1;-;1;-;1;1;-;1;-;0;-;-;-;-
" ";" ";"Zavrženje ovadbe";1;1;-;1;-;1;1;-;1;-;0;-;-;-;-
" ";" ";"Podan predlog za uvedbo pripravljalnega postopka";0;-;-;-;-;0;-;-;-;-;0;-;-;-;-
" ";" ";"Ovadbe rešene na drug naèin";0;-;-;-;-;0;-;-;-;-;0;-;-;-;-
" ";" ";"Podan predlog za kaznovanje";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za izrek vzgojnega ukrepa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";"16 let"
" ";" ";"Odloèba tožilstva - SKUPAJ";1;2;1;2;-;1;2;1;2;-;0;-;-;-;-
" ";" ";"Zavrženje ovadbe";1;2;1;2;-;1;2;1;2;-;0;-;-;-;-
" ";" ";"Podan predlog za uvedbo pripravljalnega postopka";0;-;-;-;-;0;-;-;-;-;0;-;-;-;-
" ";" ";"Ovadbe rešene na drug naèin";0;-;-;-;-;0;-;-;-;-;0;-;-;-;-
" ";" ";"Podan predlog za kaznovanje";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za izrek vzgojnega ukrepa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";"17 let"
" ";" ";"Odloèba tožilstva - SKUPAJ";4;1;-;3;2;4;1;-;3;2;0;-;-;-;-
" ";" ";"Zavrženje ovadbe";4;1;-;1;2;4;1;-;1;2;0;-;-;-;-
" ";" ";"Podan predlog za uvedbo pripravljalnega postopka";0;-;-;1;-;0;-;-;1;-;0;-;-;-;-
" ";" ";"Ovadbe rešene na drug naèin";0;-;-;-;-;0;-;-;-;-;0;-;-;-;-
" ";" ";"Podan predlog za kaznovanje";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za izrek vzgojnega ukrepa";-;-;-;1;-;-;-;-;1;-;-;-;-;-;-
" ";"18 let"
" ";" ";"Odloèba tožilstva - SKUPAJ";3;3;-;-;-;3;3;-;-;-;0;-;-;-;-
" ";" ";"Zavrženje ovadbe";2;2;-;-;-;2;2;-;-;-;0;-;-;-;-
" ";" ";"Podan predlog za uvedbo pripravljalnega postopka";1;-;-;-;-;1;-;-;-;-;0;-;-;-;-
" ";" ";"Ovadbe rešene na drug naèin";0;-;-;-;-;0;-;-;-;-;0;-;-;-;-
" ";" ";"Podan predlog za kaznovanje";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za izrek vzgojnega ukrepa";-;1;-;-;-;-;1;-;-;-;-;-;-;-;-
"1.XV KAZNIVA DEJANJA ZOPER ŽIVLJENJE IN TELO"
" ";"Starost - SKUPAJ"
" ";" ";"Odloèba tožilstva - SKUPAJ";-;-;-;1;-;-;-;-;1;-;-;-;-;-;-
" ";" ";"Zavrženje ovadbe";-;-;-;1;-;-;-;-;1;-;-;-;-;-;-
" ";" ";"Podan predlog za uvedbo pripravljalnega postopka";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Ovadbe rešene na drug naèin";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za kaznovanje";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za izrek vzgojnega ukrepa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";"12 let"
" ";" ";"Odloèba tožilstva - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Zavrženje ovadbe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za uvedbo pripravljalnega postopka";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Ovadbe rešene na drug naèin";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za kaznovanje";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za izrek vzgojnega ukrepa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";"13 let"
" ";" ";"Odloèba tožilstva - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
