Polnoletni obsojenci [znani storilci] po: KAZNIVO DEJANJE, GLAVNA;;;;;;;;
KAZEN, SPOL , LETO;;;;;;;;
10000 Glavna kazen - SKUPAJ;;;;;;;;
 ;; ; ; ; ; ; ; 
 ;; ; ; ; ; ; ; 
 ;2006;2007;2008;2009;2010;2011;2012;2013
Spol - SKUPAJ;8119;8685;8739;8035;8093;7596;8427;11321
Moški;7149;7590;7712;7083;7171;6681;7348;9945
Ženske;970;1095;1027;952;922;915;1079;1376
