Mladoletniki (znani storilci), katerim je bil izreèen vzgojni ukrep ali;;;;
kazen po: KAZNIVO DEJANJE, KAZENSKA SANKCIJA, SPOL , LETO;;;;
KAZNIVO DEJANJE - SKUPAJ;;;;
 ; ;; ; 
 ;2014;2015;2016;2017
Spol - SKUPAJ;319;315;319;269
Moški;282;272;289;241
Ženske;37;43;30;28
