Polnoletni obsojenci (znani storilci) po: KAZNIVO DEJANJE, GLAVNA;;;;
KAZEN, SPOL , LETO;;;;
KAZNIVO DEJANJE - SKUPAJ;;;;
 ; ;; ; 
 ;2014;2015;2016;2017
Spol - SKUPAJ;9410;7926;6687;6252
Moški;8046;6832;5691;5392
Ženske;1364;1094;996;860
